tweet_id,timestamp,source,text,expanded_urls,name,ratings,dog_stages,hour,full_week,jpg_url,favorite_count,retweet_count,tweet_length,language,predicted_dog,predicted_precision,is_dog
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,1.3,,16,weekday,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,36054.0,7676.0,86,English,the closest prediction was: orange,0.0970486,it´s not a dog
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,1.3,,0,weekday,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,31097.0,5675.0,139,English,Chihuahua,0.323581,it´s a dog
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,1.2,,0,weekday,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,23411.0,3763.0,122,English,Chihuahua,0.716012,it´s a dog
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,1.3,,15,weekend,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,39325.0,7850.0,80,English,Labrador_retriever,0.168086,it´s a dog
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,1.2,,16,weekend,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,37565.0,8446.0,139,English,basset,0.555712,it´s a dog
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,1.3,,16,weekday,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,11004.0,1844.0,141,English,Appenzeller,0.34170300000000003,it´s a dog
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,1.3,,16,weekday,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,26046.0,3900.0,123,English,Irish_terrier,0.487574,it´s a dog
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,1.4,doggo,15,weekday,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,29773.0,6660.0,134,English,Pembroke,0.511319,it´s a dog
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",Koda,1.3,,0,weekday,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,28654.0,6649.0,131,English,Samoyed,0.957979,it´s a dog
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,Bruno,1.3,,16,weekday,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,26065.0,4530.0,108,English,French_bulldog,0.377417,it´s a dog
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",Ted,1.2,,0,weekday,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,25254.0,4067.0,92,English,French_bulldog,0.99165,it´s a dog
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,Stuart,1.3,puppo,17,weekday,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,14147.0,2048.0,119,English,golden_retriever,0.953442,it´s a dog
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,Oliver,1.3,,0,weekday,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,23542.0,4846.0,139,English,whippet,0.626152,it´s a dog
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,Jim,1.2,,0,weekend,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,27173.0,4081.0,87,English,golden_retriever,0.714719,it´s a dog
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",Zeke,1.3,,16,weekend,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,23883.0,3850.0,129,English,golden_retriever,0.46976,it´s a dog
